trial_num,cnd,probe_size,probe_loc,probe1_color,probe2_color,click1_loc,click2_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_nstops,frame_ncycles,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
49,single2,0.5,[ 0. -1.],,DodgerBlue,[-2.18  0.47],[nan nan],7.5,26,6,[-3 -1],13,1,right,[0. 4.],54,36,18
50,single1,0.5,[1. 1.],Tomato,,[-0.74  2.87],[nan nan],7.5,26,6,[-2  1],13,1,left,[1. 6.],66,18,42
51,single1,0.5,[ 0. -1.],Tomato,,[-1.45  0.42],[nan nan],7.5,26,6,[-3 -1],13,2,left,[0. 4.],48,30,30
52,double,0.5,[1. 1.],Tomato,DodgerBlue,[-0.86  2.38],[3.17 2.68],7.5,26,6,[-2  1],13,2,left,[1. 6.],48,24,36
53,single1,0.5,[0. 0.],DodgerBlue,,[-1.91  1.45],[nan nan],7.5,26,6,[-3  0],13,2,left,[0. 5.],54,30,42
54,double,0.5,[ 0. -1.],DodgerBlue,Tomato,[-2.5   0.91],[1.23 1.03],7.5,26,6,[-3 -1],13,1,right,[0. 4.],54,30,36
55,single1,0.5,[0. 0.],Tomato,,[0.93 1.72],[nan nan],7.5,26,6,[-3  0],13,3,right,[0. 5.],72,30,24
56,double,0.5,[ 1. -1.],Tomato,DodgerBlue,[1.99 0.74],[-0.96  0.83],7.5,26,6,[-2 -1],13,1,right,[1. 4.],72,36,36
57,single1,0.5,[-1.  0.],DodgerBlue,,[-0.02  1.62],[nan nan],7.5,26,6,[-4  0],13,3,right,[-1.  5.],54,24,42
58,single2,0.5,[ 0. -1.],,Tomato,[-1.91  0.44],[nan nan],7.5,26,6,[-3 -1],13,2,right,[0. 4.],66,24,36
59,single1,0.5,[1. 1.],Tomato,,[2.53 2.92],[nan nan],7.5,26,6,[-2  1],13,2,right,[1. 6.],72,18,36
60,double,0.5,[1. 1.],Tomato,DodgerBlue,[-0.93  2.26],[3.36 2.45],7.5,26,6,[-2  1],13,3,left,[1. 6.],48,36,24
61,double,0.5,[-1.  0.],Tomato,DodgerBlue,[-3.24  1.64],[1.06 1.79],7.5,26,6,[-4  0],13,1,left,[-1.  5.],48,18,36
62,single1,0.5,[ 1. -1.],Tomato,,[0.27 0.96],[nan nan],7.5,26,6,[-2 -1],13,1,left,[1. 4.],48,36,36
63,double,0.5,[-1.  1.],DodgerBlue,Tomato,[-3.39  2.58],[0.25 2.63],7.5,26,6,[-4  1],13,2,right,[-1.  6.],72,42,24
64,single1,0.5,[-1. -1.],DodgerBlue,,[-2.18  1.35],[nan nan],7.5,26,6,[-4 -1],13,1,left,[-1.  4.],66,24,30
65,double,0.5,[-1.  1.],DodgerBlue,Tomato,[-3.51  2.53],[0.25 2.75],7.5,26,6,[-4  1],13,1,right,[-1.  6.],60,42,36
66,double,0.5,[ 1. -1.],DodgerBlue,Tomato,[-1.33 -0.12],[2.65 0.2 ],7.5,26,6,[-2 -1],13,2,left,[1. 4.],60,42,18
67,double,0.5,[-1. -1.],DodgerBlue,Tomato,[-2.48  0.22],[1.03 0.49],7.5,26,6,[-4 -1],13,2,left,[-1.  4.],66,18,42
68,double,0.5,[ 1. -1.],Tomato,DodgerBlue,[-1.69  0.15],[2.43 0.34],7.5,26,6,[-2 -1],13,3,left,[1. 4.],48,36,24
69,double,0.5,[1. 1.],DodgerBlue,Tomato,[-1.28  1.45],[2.09 1.64],7.5,26,6,[-2  1],13,2,right,[1. 6.],66,24,30
70,double,0.5,[ 1. -1.],Tomato,DodgerBlue,[-1.67 -0.12],[ 2.43 -0.02],7.5,26,6,[-2 -1],13,2,right,[1. 4.],72,30,42
71,double,0.5,[ 0. -1.],Tomato,DodgerBlue,[-2.65  0.27],[1.55 0.49],7.5,26,6,[-3 -1],13,1,right,[0. 4.],66,36,30
72,double,0.5,[ 1. -1.],Tomato,DodgerBlue,[ 1.87 -0.44],[-1.99 -0.27],7.5,26,6,[-2 -1],13,1,right,[1. 4.],66,42,24
73,single1,0.5,[0. 1.],DodgerBlue,,[-1.69  1.87],[nan nan],7.5,26,6,[-3  1],13,1,left,[0. 6.],66,30,24
74,single1,0.5,[ 1. -1.],DodgerBlue,,[2.5  0.17],[nan nan],7.5,26,6,[-2 -1],13,3,right,[1. 4.],48,18,42
75,single2,0.5,[0. 0.],,Tomato,[-1.84  1.6 ],[nan nan],7.5,26,6,[-3  0],13,1,right,[0. 5.],66,30,30
76,single2,0.5,[1. 0.],,DodgerBlue,[-0.49  1.3 ],[nan nan],7.5,26,6,[-2  0],13,3,right,[1. 5.],72,30,36
77,double,0.5,[1. 1.],DodgerBlue,Tomato,[-1.25  1.15],[3.17 1.3 ],7.5,26,6,[-2  1],13,1,right,[1. 6.],48,24,42
78,single1,0.5,[0. 0.],Tomato,,[-1.37  1.37],[nan nan],7.5,26,6,[-3  0],13,1,left,[0. 5.],72,24,42
79,single1,0.5,[0. 0.],DodgerBlue,,[-1.33  1.77],[nan nan],7.5,26,6,[-3  0],13,1,left,[0. 5.],48,18,36
80,double,0.5,[-1.  1.],DodgerBlue,Tomato,[-3.36  2.55],[1.15 3.02],7.5,26,6,[-4  1],13,3,left,[-1.  6.],54,18,18
81,single2,0.5,[-1.  1.],,DodgerBlue,[-3.93  1.74],[nan nan],7.5,26,6,[-4  1],13,1,right,[-1.  6.],60,30,24
82,double,0.5,[0. 1.],Tomato,DodgerBlue,[-2.75  1.99],[1.4  2.28],7.5,26,6,[-3  1],13,3,right,[0. 6.],72,30,36
83,single1,0.5,[ 0. -1.],DodgerBlue,,[-1.69  0.12],[nan nan],7.5,26,6,[-3 -1],13,1,left,[0. 4.],72,30,36
84,double,0.5,[ 1. -1.],DodgerBlue,Tomato,[-0.83 -0.1 ],[3.22 0.27],7.5,26,6,[-2 -1],13,1,left,[1. 4.],66,30,18
85,double,0.5,[-1.  1.],DodgerBlue,Tomato,[-2.55  2.36],[0.91 2.53],7.5,26,6,[-4  1],13,1,left,[-1.  6.],48,36,36
86,single1,0.5,[-1. -1.],Tomato,,[0.49 1.37],[nan nan],7.5,26,6,[-4 -1],13,2,right,[-1.  4.],48,42,30
87,double,0.5,[ 0. -1.],Tomato,DodgerBlue,[-2.36  0.29],[1.64 0.44],7.5,26,6,[-3 -1],13,2,left,[0. 4.],48,24,18
88,single2,0.5,[1. 0.],,DodgerBlue,[-1.1   1.37],[nan nan],7.5,26,6,[-2  0],13,1,right,[1. 5.],48,42,42
89,double,0.5,[-1.  1.],Tomato,DodgerBlue,[-3.73  2.26],[0.56 2.41],7.5,26,6,[-4  1],13,1,right,[-1.  6.],72,30,18
90,single2,0.5,[-1.  1.],,DodgerBlue,[-2.5   2.23],[nan nan],7.5,26,6,[-4  1],13,2,right,[-1.  6.],54,30,24
