trial_num,cnd,probe_size,probe_loc,probe1_color,probe2_color,click1_loc,click2_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_nstops,frame_ncycles,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
66,single2,0.5,[1. 1.],,DodgerBlue,[-1.2  1.3],[nan nan],7.5,26,6,[-2  1],13,2,right,[1. 6.],72,24,30
67,double,0.5,[0. 0.],DodgerBlue,Tomato,[-2.09  1.15],[1.5  1.42],7.5,26,6,[-3  0],13,1,right,[0. 5.],72,42,36
68,single1,0.5,[ 1. -1.],DodgerBlue,,[1.37 0.27],[nan nan],7.5,26,6,[-2 -1],13,2,right,[1. 4.],54,42,36
69,single1,0.5,[ 0. -1.],DodgerBlue,,[1.13 0.07],[nan nan],7.5,26,6,[-3 -1],13,1,right,[0. 4.],72,24,30
70,double,0.5,[1. 0.],DodgerBlue,Tomato,[1.52 1.42],[-1.72  1.57],7.5,26,6,[-2  0],13,1,right,[1. 5.],72,30,24
71,double,0.5,[-1. -1.],DodgerBlue,Tomato,[-3.29  0.44],[-0.02  0.47],7.5,26,6,[-4 -1],13,2,left,[-1.  4.],48,30,18
72,single1,0.5,[ 1. -1.],DodgerBlue,,[1.91 0.71],[nan nan],7.5,26,6,[-2 -1],13,1,right,[1. 4.],48,18,42
73,double,0.5,[1. 0.],DodgerBlue,Tomato,[2.6  1.64],[-1.18  1.84],7.5,26,6,[-2  0],13,3,right,[1. 5.],72,36,24
74,double,0.5,[-1.  0.],DodgerBlue,Tomato,[0.32 1.69],[-3.56  1.74],7.5,26,6,[-4  0],13,2,right,[-1.  5.],48,30,30
75,single1,0.5,[-1. -1.],Tomato,,[0.2  0.74],[nan nan],7.5,26,6,[-4 -1],13,3,right,[-1.  4.],54,42,30
76,double,0.5,[-1. -1.],Tomato,DodgerBlue,[-0.1   0.29],[-4.07  0.44],7.5,26,6,[-4 -1],13,3,right,[-1.  4.],54,36,36
77,double,0.5,[-1.  0.],DodgerBlue,Tomato,[-3.98  1.33],[-0.29  1.37],7.5,26,6,[-4  0],13,1,right,[-1.  5.],48,18,42
78,single1,0.5,[0. 0.],DodgerBlue,,[0.52 1.37],[nan nan],7.5,26,6,[-3  0],13,1,right,[0. 5.],48,30,18
79,single2,0.5,[1. 1.],,DodgerBlue,[2.43 2.28],[nan nan],7.5,26,6,[-2  1],13,1,left,[1. 6.],72,42,18
80,double,0.5,[1. 0.],Tomato,DodgerBlue,[-0.86  1.5 ],[2.7  1.77],7.5,26,6,[-2  0],13,1,left,[1. 5.],66,42,36
81,single1,0.5,[ 0. -1.],Tomato,,[0.74 0.34],[nan nan],7.5,26,6,[-3 -1],13,3,right,[0. 4.],54,18,36
82,double,0.5,[-1.  0.],DodgerBlue,Tomato,[-2.99  1.01],[1.6  1.33],7.5,26,6,[-4  0],13,1,left,[-1.  5.],54,36,36
83,single1,0.5,[-1.  1.],Tomato,,[-3.12  2.53],[nan nan],7.5,26,6,[-4  1],13,3,left,[-1.  6.],66,42,24
84,single1,0.5,[-1. -1.],DodgerBlue,,[-2.6  0.2],[nan nan],7.5,26,6,[-4 -1],13,2,left,[-1.  4.],48,18,24
85,single2,0.5,[ 0. -1.],,Tomato,[1.62 0.22],[nan nan],7.5,26,6,[-3 -1],13,3,left,[0. 4.],60,36,42
86,double,0.5,[1. 1.],Tomato,DodgerBlue,[-1.55  2.14],[2.7  2.43],7.5,26,6,[-2  1],13,1,left,[1. 6.],54,24,18
87,single1,0.5,[1. 1.],DodgerBlue,,[2.45 1.91],[nan nan],7.5,26,6,[-2  1],13,3,right,[1. 6.],66,42,36
88,single2,0.5,[1. 0.],,Tomato,[-0.88  2.16],[nan nan],7.5,26,6,[-2  0],13,3,right,[1. 5.],60,36,36
89,double,0.5,[-1. -1.],DodgerBlue,Tomato,[-2.77  0.27],[0.59 0.61],7.5,26,6,[-4 -1],13,1,left,[-1.  4.],48,36,42
90,single2,0.5,[-1.  1.],,DodgerBlue,[0.91 2.41],[nan nan],7.5,26,6,[-4  1],13,2,left,[-1.  6.],48,18,24
