trial_num,probe_size,probe_loc,click_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_flashloc,frame_nstops,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
31,0.5,[0. 1.],[1.57 2.85],5.0,86,20,[-10   1],-5.24,43,right,[0. 6.],72,36,36
32,0.5,[1. 1.],[2.6  2.55],5.0,86,20,[-9  1],-8.05,43,right,[1. 6.],60,18,18
33,0.5,[-1.  0.],[2.16 1.82],0.5,86,20,[-11   0],-11.0,43,right,[-1.  5.],48,42,30
34,0.5,[-1. -1.],[-1.15  0.07],0.5,86,20,[-11  -1],5.19,43,right,[-1.  4.],60,42,36
35,0.5,[-1.  1.],[-1.08  1.91],0.5,86,20,[-11   1],0.43,43,right,[-1.  6.],72,36,36
36,0.5,[ 1. -1.],[0.69 0.  ],0.5,86,20,[-9 -1],3.38,43,right,[1. 4.],60,30,18
37,0.5,[ 1. -1.],[1.96 1.13],7.5,86,20,[-9 -1],2.43,43,right,[1. 4.],66,18,36
38,0.5,[-1.  1.],[-1.25  2.6 ],5.0,86,20,[-11   1],2.33,43,right,[-1.  6.],60,42,36
39,0.5,[-1. -1.],[0.39 0.71],0.5,86,20,[-11  -1],-6.24,43,right,[-1.  4.],54,18,36
40,0.5,[1. 1.],[1.4  2.53],5.0,86,20,[-9  1],7.67,43,right,[1. 6.],48,30,18
41,0.5,[0. 1.],[1.84 3.17],7.5,86,20,[-10   1],-9.52,43,right,[0. 6.],66,24,30
42,0.5,[-1. -1.],[1.18 1.18],7.5,86,20,[-11  -1],-4.81,43,right,[-1.  4.],60,36,36
43,0.5,[0. 0.],[-0.32  0.93],0.5,86,20,[-10   0],4.29,43,right,[0. 5.],54,18,30
44,0.5,[-1.  0.],[0.15 1.64],0.5,86,20,[-11   0],-0.52,43,right,[-1.  5.],54,18,18
45,0.5,[-1.  1.],[0.64 1.87],0.5,86,20,[-11   1],-3.86,43,right,[-1.  6.],66,30,30
46,0.5,[ 0. -1.],[1.01 1.4 ],5.0,86,20,[-10  -1],1.43,43,right,[0. 4.],48,36,42
47,0.5,[0. 0.],[0.   1.35],0.5,86,20,[-10   0],1.9,43,right,[0. 5.],54,30,18
48,0.5,[ 1. -1.],[2.58 0.86],0.5,86,20,[-9 -1],1.0,43,right,[1. 4.],48,36,18
49,0.5,[-1. -1.],[0.42 1.01],0.5,86,20,[-11  -1],-8.62,43,right,[-1.  4.],72,42,18
50,0.5,[0. 0.],[0.74 1.47],5.0,86,20,[-10   0],0.95,43,right,[0. 5.],48,24,24
51,0.5,[0. 0.],[1.42 1.47],5.0,86,20,[-10   0],-3.33,43,right,[0. 5.],54,36,24
52,0.5,[0. 0.],[-0.27  0.88],0.5,86,20,[-10   0],8.57,43,right,[0. 5.],60,24,24
53,0.5,[-1.  1.],[0.54 2.11],0.5,86,20,[-11   1],-2.43,43,right,[-1.  6.],48,18,18
54,0.5,[1. 1.],[2.82 2.92],5.0,86,20,[-9  1],-0.9,43,right,[1. 6.],60,42,24
55,0.5,[0. 1.],[1.06 2.21],7.5,86,20,[-10   1],0.95,43,right,[0. 6.],54,42,36
56,0.5,[0. 0.],[1.15 2.04],5.0,86,20,[-10   0],-0.48,43,right,[0. 5.],60,24,30
57,0.5,[ 0. -1.],[1.99 1.47],0.5,86,20,[-10  -1],-9.05,43,right,[0. 4.],72,24,18
58,0.5,[-1.  1.],[0.37 3.07],0.5,86,20,[-11   1],-8.14,43,right,[-1.  6.],54,36,18
59,0.5,[0. 0.],[1.6  1.77],7.5,86,20,[-10   0],-4.76,43,right,[0. 5.],60,30,18
60,0.5,[-1.  1.],[-1.37  2.31],5.0,86,20,[-11   1],4.24,43,right,[-1.  6.],60,18,18
61,0.5,[-1. -1.],[0.15 0.54],5.0,86,20,[-11  -1],-1.95,43,right,[-1.  4.],72,30,42
62,0.5,[1. 1.],[1.99 3.26],7.5,86,20,[-9  1],-5.19,43,right,[1. 6.],54,30,18
63,0.5,[-1.  0.],[1.01 2.8 ],5.0,86,20,[-11   0],-4.81,43,right,[-1.  5.],54,18,24
64,0.5,[-1.  1.],[0.66 2.92],5.0,86,20,[-11   1],-8.14,43,right,[-1.  6.],54,42,30
65,0.5,[-1.  0.],[1.01 2.18],0.5,86,20,[-11   0],-1.0,43,right,[-1.  5.],54,30,18
66,0.5,[1. 0.],[2.8  2.01],7.5,86,20,[-9  0],-1.86,43,right,[1. 5.],66,18,24
67,0.5,[-1.  0.],[0.42 1.28],0.5,86,20,[-11   0],-2.43,43,right,[-1.  5.],66,42,42
68,0.5,[-1. -1.],[1.55 1.01],7.5,86,20,[-11  -1],-8.14,43,right,[-1.  4.],48,36,24
69,0.5,[-1.  0.],[-0.83  1.74],7.5,86,20,[-11   0],7.57,43,right,[-1.  5.],60,24,42
70,0.5,[-1. -1.],[-0.81  0.76],0.5,86,20,[-11  -1],0.9,43,right,[-1.  4.],66,24,30
71,0.5,[-1.  0.],[-1.25  1.69],7.5,86,20,[-11   0],4.71,43,right,[-1.  5.],54,36,24
72,0.5,[-1.  1.],[0.56 2.14],7.5,86,20,[-11   1],-9.1,43,right,[-1.  6.],54,30,42
73,0.5,[0. 0.],[2.41 2.11],5.0,86,20,[-10   0],-5.71,43,right,[0. 5.],60,24,42
74,0.5,[ 1. -1.],[1.62 0.52],0.5,86,20,[-9 -1],6.71,43,right,[1. 4.],66,24,36
75,0.5,[ 1. -1.],[3.34 1.87],5.0,86,20,[-9 -1],-5.67,43,right,[1. 4.],54,24,30
76,0.5,[0. 0.],[-0.79  1.03],0.5,86,20,[-10   0],3.33,43,right,[0. 5.],60,24,30
77,0.5,[1. 0.],[0.96 1.87],0.5,86,20,[-9  0],6.24,43,right,[1. 5.],60,18,30
78,0.5,[1. 1.],[3.04 3.61],7.5,86,20,[-9  1],-4.24,43,right,[1. 6.],48,24,36
79,0.5,[-1. -1.],[0.2  1.15],0.5,86,20,[-11  -1],-1.95,43,right,[-1.  4.],48,30,36
80,0.5,[1. 0.],[1.3  2.28],7.5,86,20,[-9  0],4.33,43,right,[1. 5.],48,36,24
81,0.5,[1. 0.],[0.88 2.95],7.5,86,20,[-9  0],7.19,43,right,[1. 5.],66,36,42
82,0.5,[0. 0.],[-0.52  1.6 ],0.5,86,20,[-10   0],6.19,43,right,[0. 5.],54,30,18
83,0.5,[1. 0.],[2.41 1.5 ],0.5,86,20,[-9  0],-5.19,43,right,[1. 5.],60,18,36
84,0.5,[ 0. -1.],[-0.27  1.55],7.5,86,20,[-10  -1],9.52,43,right,[0. 4.],60,42,36
85,0.5,[ 1. -1.],[2.41 1.4 ],5.0,86,20,[-9 -1],-7.1,43,right,[1. 4.],54,30,18
86,0.5,[1. 1.],[0.93 3.41],7.5,86,20,[-9  1],9.1,43,right,[1. 6.],66,18,30
87,0.5,[0. 0.],[2.48 3.02],7.5,86,20,[-10   0],-6.67,43,right,[0. 5.],54,30,30
88,0.5,[1. 0.],[3.02 2.23],7.5,86,20,[-9  0],-4.71,43,right,[1. 5.],54,18,30
89,0.5,[ 0. -1.],[2.04 2.21],7.5,86,20,[-10  -1],0.48,43,right,[0. 4.],54,18,30
90,0.5,[1. 0.],[4.   1.74],0.5,86,20,[-9  0],-1.86,43,right,[1. 5.],66,30,30
91,0.5,[0. 0.],[0.02 0.96],0.5,86,20,[-10   0],8.1,43,right,[0. 5.],54,30,42
92,0.5,[-1.  1.],[0.02 2.9 ],0.5,86,20,[-11   1],-1.95,43,right,[-1.  6.],54,30,18
93,0.5,[-1.  0.],[0.79 2.21],0.5,86,20,[-11   0],-10.52,43,right,[-1.  5.],60,30,24
94,0.5,[0. 0.],[0.76 1.25],5.0,86,20,[-10   0],0.95,43,right,[0. 5.],48,24,24
95,0.5,[ 0. -1.],[-0.71  0.15],5.0,86,20,[-10  -1],5.24,43,right,[0. 4.],48,24,24
96,0.5,[-1.  1.],[1.1  3.26],7.5,86,20,[-11   1],-2.43,43,right,[-1.  6.],72,36,42
97,0.5,[1. 1.],[0.37 2.06],7.5,86,20,[-9  1],10.52,43,right,[1. 6.],54,42,42
98,0.5,[-1. -1.],[-1.57  0.56],0.5,86,20,[-11  -1],0.9,43,right,[-1.  4.],48,36,30
99,0.5,[1. 0.],[2.82 1.45],0.5,86,20,[-9  0],-2.33,43,right,[1. 5.],72,24,24
100,0.5,[ 0. -1.],[3.04 1.15],7.5,86,20,[-10  -1],-3.81,43,right,[0. 4.],60,30,24
