trial_num,probe_size,probe_loc,click_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_flashloc,frame_nstops,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
1,0.5,[-1.  0.],[-0.47  0.69],7.5,86,20,[-11   0],2.81,43,right,[-1.  5.],72,18,30
2,0.5,[ 0. -1.],[ 2.5  -0.07],7.5,86,20,[-10  -1],-7.14,43,right,[0. 4.],54,24,36
3,0.5,[1. 1.],[2.9  1.33],0.5,86,20,[-9  1],-1.38,43,right,[1. 6.],66,30,18
4,0.5,[-1. -1.],[0.2  0.07],5.0,86,20,[-11  -1],-0.05,43,right,[-1.  4.],60,30,18
5,0.5,[0. 1.],[0.39 1.91],0.5,86,20,[-10   1],4.76,43,right,[0. 6.],48,18,30
6,0.5,[ 0. -1.],[-0.25 -0.1 ],5.0,86,20,[-10  -1],4.29,43,right,[0. 4.],60,24,18
7,0.5,[-1.  1.],[-1.2   2.09],7.5,86,20,[-11   1],7.1,43,right,[-1.  6.],48,30,36
8,0.5,[-1.  1.],[1.06 1.57],7.5,86,20,[-11   1],-8.62,43,right,[-1.  6.],48,36,36
9,0.5,[-1.  1.],[-0.1   2.48],5.0,86,20,[-11   1],0.9,43,right,[-1.  6.],60,24,30
10,0.5,[ 0. -1.],[2.14 0.71],7.5,86,20,[-10  -1],-9.52,43,right,[0. 4.],60,30,24
11,0.5,[0. 1.],[2.7  1.13],0.5,86,20,[-10   1],-4.76,43,right,[0. 6.],48,30,42
12,0.5,[0. 0.],[-0.05  1.08],0.5,86,20,[-10   0],4.76,43,right,[0. 5.],72,18,18
13,0.5,[0. 1.],[2.09 2.14],5.0,86,20,[-10   1],-4.29,43,right,[0. 6.],48,24,18
14,0.5,[1. 1.],[1.15 1.55],0.5,86,20,[-9  1],4.81,43,right,[1. 6.],48,18,42
15,0.5,[-1.  0.],[0.2  1.37],7.5,86,20,[-11   0],-3.38,43,right,[-1.  5.],72,36,24
16,0.5,[-1.  0.],[1.15 1.37],7.5,86,20,[-11   0],-5.76,43,right,[-1.  5.],54,42,36
17,0.5,[1. 0.],[1.94 1.79],5.0,86,20,[-9  0],1.95,43,right,[1. 5.],72,36,18
18,0.5,[1. 0.],[0.69 1.69],5.0,86,20,[-9  0],5.76,43,right,[1. 5.],54,24,42
19,0.5,[-1.  0.],[1.89 1.42],0.5,86,20,[-11   0],-3.38,43,right,[-1.  5.],54,30,30
20,0.5,[0. 0.],[2.04 1.62],5.0,86,20,[-10   0],-6.67,43,right,[0. 5.],54,42,18
21,0.5,[0. 0.],[-0.15  1.57],0.5,86,20,[-10   0],9.52,43,right,[0. 5.],54,42,42
22,0.5,[-1.  1.],[0.88 2.06],0.5,86,20,[-11   1],-6.71,43,right,[-1.  6.],54,36,24
23,0.5,[ 0. -1.],[0.81 0.83],7.5,86,20,[-10  -1],3.33,43,right,[0. 4.],66,42,30
24,0.5,[0. 0.],[0.05 0.83],0.5,86,20,[-10   0],9.52,43,right,[0. 5.],66,18,36
25,0.5,[-1.  1.],[-0.86  2.06],7.5,86,20,[-11   1],6.62,43,right,[-1.  6.],48,30,18
26,0.5,[0. 0.],[2.31 1.64],7.5,86,20,[-10   0],-7.62,43,right,[0. 5.],66,24,24
27,0.5,[ 0. -1.],[-0.25 -0.39],0.5,86,20,[-10  -1],10.0,43,right,[0. 4.],66,18,18
28,0.5,[1. 0.],[3.71 1.72],5.0,86,20,[-9  0],-1.86,43,right,[1. 5.],66,24,18
29,0.5,[0. 1.],[0.22 2.09],7.5,86,20,[-10   1],3.81,43,right,[0. 6.],66,36,24
30,0.5,[0. 1.],[2.18 1.84],0.5,86,20,[-10   1],-10.0,43,right,[0. 6.],60,24,24
